RETURN OF INSTANCES
Run closed 89,191 ms after opening.

  INST    OPENED    CLOSED   STATE
  ─────────────────────────────────────
  00076        84       387   throttled
  00429       249       412   throttled
  00402       262       412   throttled
  00170       120       446   error
  00218       171       446   throttled
  00455       308       458   throttled
  00453       272       465   throttled
  00415       251       471   throttled
  00343       225       506   throttled
  00102        85       512   throttled
  00312       197       534   throttled
  00207       172       542   throttled
  00190       128       567   throttled
  00573       346       578   throttled
  00324       220       580   throttled
  00406       258       594   throttled
  00064        83       600   throttled
  00567       364       613   throttled
  00050        37       636   throttled
  00135       104       644   error
  00673       412       668   throttled
  00290       177       694   throttled
  00583       364       713   throttled
  00060        61       718   throttled
  00182       127       748   throttled
  00025        65       761   throttled
  00055        72       763   error
  01040       614       773   throttled
  01085       626       776   throttled
  00624       361       795   throttled
  01111       647       797   throttled
  00601       370       807   throttled
  00987       574       825   throttled
  01053       626       841   throttled
  00152       105       852   throttled
  01042       610       855   throttled
  01009       585       871   throttled
  00466       310       873   throttled
  00506       321       879   throttled
  01090       626       879   throttled
  00561       350       884   error
  00919       552       894   throttled
  00587       354       918   throttled
  01234       716       926   throttled
  01339       788       938   throttled
  00569       341       939   throttled
  00181       157       954   throttled
  00498       293       959   throttled
  01353       787       970   throttled
  01371       783       991   throttled
  01168       708      1008   error
  01100       630      1022   throttled
  01045       627      1023   throttled
  00931       569      1024   throttled
  01320       779      1024   throttled
  01491       868      1044   throttled
  01518       900      1050   throttled
  00822       499      1051   throttled
  01458       842      1068   throttled
  01315       763      1069   throttled
  00866       532      1073   throttled
  01424       841      1083   throttled
  00711       417      1087   error
  00997       581      1089   throttled
  01251       733      1092   throttled
  01482       858      1116   throttled
  01088       633      1144   throttled
  01438       864      1148   throttled
  01213       728      1159   throttled
  01021       610      1182   throttled
  01193       694      1184   throttled
  01086       637      1202   throttled
  01158       690      1236   throttled
  00971       568      1243   throttled
  01163       696      1270   throttled
  01369       811      1312   throttled
  01240       707      1345   throttled
  01363       787      1345   error
  01344       782      1376   error
  00883       532      1404   error
  00820       472      1449   error
  01383       828      1477   throttled
  00826       478      1528   error
  01050       608      1621   throttled
  00340       241      1824   throttled
  00806       491      1909   error
  00991       574      2059   error
  01119       649      2110   error
  00276       190      2182   error
  00894       532      2372   error
  01118       673      2539   error
  01126       670      2574   error
  00085        95      2723   killed
  00090        64      2758   killed
  01472       884      2812   error
  00528       335      2927   error
  00773       472      3271   killed
  01409       827      3274   error
  01373       793      3501   killed
  00769       461      3514   killed
  01349       801      3548   killed
  00927       558      3558   completed
  01312       754      3560   killed
  00372       234      3620   killed
  00447       281      3666   killed
  00789       479      3715   killed
  00584       341      3822   completed
  00080        80      3863   killed
  00754       443      3912   completed
  01019       593      3968   completed
  00786       479      3991   completed
  00608       387      4021   killed
  00318       213      4130   completed
  00548       334      4319   killed
  00187       158      4379   empty
  00158       141      4444   completed
  00697       401      4532   killed
  00493       320      4681   completed
  00168       127      4739   empty
  00224       156      4957   completed
  01072       628      4981   killed
  01487       886      5098   killed
  00070        85      5231   completed
  00437       281      5238   completed
  00282       206      5414   completed
  00800       497      5465   killed
  00379       239      5927   empty
  00383       228      6200   completed
  00665       410      6256   completed
  01210       723      6550   completed
  00272       179      6583   completed
  00144       111      6864   completed
  01268       740      6871   killed
  00510       306      6969   killed
  01492       892      6977   killed
  00964       583      7023   completed
  00748       450      7096   completed
  00536       331      7193   completed
  01330       759      7219   completed
  01498       898      7338   completed
  00659       388      7351   empty
  00227       164      7468   empty
